Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Purchase,Savings Account,2024-09-06,2024-09-16,Online Purchase,598.84,32.77,EUR,COMPLETED,9948.08
Transfer,Investment Account,2024-03-06,2024-03-08,Online Purchase,153.04,1.17,JPY,COMPLETED,9443.08
Deposit,Savings Account,2024-10-08,2024-11-07,Online Purchase,510.02,2.31,USD,COMPLETED,918.99
Purchase,Savings Account,2024-11-09,2024-11-28,Interest Earned,460.61,25.75,EUR,COMPLETED,7011.04
Transfer,Savings Account,2024-04-14,2024-04-25,Online Purchase,475.93,49.13,KES,COMPLETED,587.28
Purchase,Savings Account,2024-04-14,2024-04-15,Online Purchase,623.22,15.66,USD,COMPLETED,9936.3
Transfer,Investment Account,2024-02-25,2024-03-15,ATM Withdrawal,928.96,18.86,USD,COMPLETED,5598.94
Deposit,Checking Account,2024-07-11,2024-08-10,Interest Earned,180.85,49.47,EUR,COMPLETED,5757.69
Deposit,Checking Account,2024-06-19,2024-06-29,Utility Bill Payment,538.65,47.84,USD,COMPLETED,3471.67
Purchase,Credit Card,2024-10-22,2024-11-06,Utility Bill Payment,524.27,34.71,GBP,COMPLETED,3513.78
Purchase,Investment Account,2024-02-29,2024-03-23,ATM Withdrawal,729.65,5.79,USD,COMPLETED,6367.22
Purchase,Credit Card,2024-06-09,2024-06-30,Utility Bill Payment,800.16,22.03,KES,COMPLETED,3735.47
Purchase,Checking Account,2024-08-02,2024-08-30,Utility Bill Payment,696.74,34.3,GBP,COMPLETED,8155.22
Withdrawal,Savings Account,2024-03-25,2024-03-26,Online Purchase,225.52,16.58,GBP,COMPLETED,9905.76
Purchase,Credit Card,2024-08-21,2024-08-30,Interest Earned,651.53,49.98,EUR,COMPLETED,8034.5
Deposit,Credit Card,2024-10-29,2024-11-20,Interest Earned,90.43,37.49,USD,COMPLETED,4408.78
Refund,Credit Card,2024-05-18,2024-06-17,ATM Withdrawal,114.81,41.97,KES,COMPLETED,9082.28
